id,size,propertyType,bedrooms,latitude,longitude,localityName,suburbName,cityName,price,companyName
9962405,400 sq ft,Independent Floor,1,28.64101028,77.28438568,Swasthya Vihar,Delhi East,Delhi,9000,Dream Homez
10043180,"1,050 sq ft",Apartment,2,28.5949688,77.29866791,mayur vihar phase 1,Delhi East,Delhi,20000,Rupak Properties Stock
10029423,"2,250 sq ft",Independent Floor,2,28.64180565,77.29392242,Swasthya Vihar,Delhi East,Delhi,28000,Aashiyana Real Estate
10037684,"1,350 sq ft",Independent Floor,2,28.6443634,77.29322815,Krishna Nagar,Delhi East,Delhi,28000,Shivam Real Estate
10033443,450 sq ft,Apartment,2,28.5947361,77.3111496,New Ashok Nagar,Delhi East,Delhi,12500,Shree Properties
10033297,600 sq ft,Independent House,2,28.59246445,77.30516052,New Ashok Nagar,Delhi East,Delhi,10000,Golden Properties
10041442,600 sq ft,Independent Floor,2,28.59350014,77.30554962,New Ashok Nagar,Delhi East,Delhi,12000,Welcome Properties
10068640,900 sq ft,Independent Floor,2,28.60354614,77.29105377,mayur vihar phase 1,Delhi East,Delhi,15500,Akash Properties
10033762,680 sq ft,Independent Floor,2,28.60411072,77.2895813,mayur vihar phase 1,Delhi East,Delhi,13000,Shivam Properties
10032202,360 sq ft,Independent Floor,1,28.59085655,77.30525208,New Ashok Nagar,Delhi East,Delhi,8500,Anand Properties
9965690,700 sq ft,Independent Floor,2,28.65325928,77.3010788,Anand Vihar,Delhi East,Delhi,11000,Tanya Associates
10081230,"1,000 sq ft",Independent House,2,28.63734245,77.2937088,Preet Vihar,Delhi East,Delhi,14000,BK Associates
9978546,"1,080 sq ft",Independent Floor,3,28.70030022,77.27118683,Shahdara,Delhi East,Delhi,15000,Hans Properties
9958453,"3,000 sq ft",Independent Floor,3,28.67783928,77.27918243,Shahdara,Delhi East,Delhi,100000,Aaditya properties
8818664,450 sq ft,Independent House,1,28.60077286,77.29862213,mayur vihar phase 1,Delhi East,Delhi,9500,Prince Associates
9948120,500 sq ft,Independent House,1,28.62866592,77.28993988,Mandawali,Delhi East,Delhi,15000,JV Associates
9721023,"1,000 sq ft",Independent Floor,2,28.64483261,77.28631592,Krishna Nagar,Delhi East,Delhi,16000,Arora Properties
9560706,390 sq ft,Independent House,1,28.59199524,77.30540466,New Ashok Nagar,Delhi East,Delhi,8500,Aradhya Properties
9841277,"1,200 sq ft",Independent Floor,1,28.60893822,77.29997253,mayur vihar phase 1,Delhi East,Delhi,6500,Room Soom
9815613,800 sq ft,Independent House,2,28.62464523,77.29869843,Mandawali,Delhi East,Delhi,22000,Nestaway Technologies Pvt Ltd
10032879,"1,700 sq ft",Apartment,3,28.61636162,77.29469299,Mayur Vihar II,Delhi East,Delhi,31000,Guru Ji Associates
10041512,"1,350 sq ft",Independent Floor,3,28.65271378,77.30612946,AGCR Enclave,Delhi East,Delhi,45000,Delli Property
9560275,900 sq ft,Independent Floor,2,28.70093918,77.27210236,Shahdara,Delhi East,Delhi,16000,CK Home Solutions
10033208,600 sq ft,Independent House,2,28.59277916,77.30582428,New Ashok Nagar,Delhi East,Delhi,10000,Golden Properties
10039448,"1,150 sq ft",Independent Floor,1,28.64489555,77.29406738,Krishna Nagar,Delhi East,Delhi,30000,Shivam Real Estate
10041441,600 sq ft,Independent Floor,2,28.59338951,77.30564117,New Ashok Nagar,Delhi East,Delhi,12000,Welcome Properties
10030980,"1,800 sq ft",Independent Floor,2,28.64218521,77.28700256,Swasthya Vihar,Delhi East,Delhi,32000,Aashiyana Real Estate
10027340,430 sq ft,Apartment,1,28.60411072,77.2895813,mayur vihar phase 1,Delhi East,Delhi,15500,Shivam Properties
10032258,350 sq ft,Independent Floor,1,28.60773659,77.28911591,mayur vihar phase 1,Delhi East,Delhi,6000,Akash Properties
10033280,"1,000 sq ft",Independent Floor,3,28.64699745,77.29216003,Krishna Nagar,Delhi East,Delhi,14000,BK Associates
10032615,300 sq ft,Independent Floor,1,28.59229279,77.30554962,New Ashok Nagar,Delhi East,Delhi,6500,Shree Properties
10043796,"1,200 sq ft",Apartment,2,28.61462402,77.31215668,Mayur Vihar II,Delhi East,Delhi,32000,Rupak Properties Stock
10032025,270 sq ft,Independent Floor,1,28.59300041,77.3061676,New Ashok Nagar,Delhi East,Delhi,5200,Anand Properties
8818621,450 sq ft,Independent Floor,1,28.61180305,77.28953552,mayur vihar phase 1,Delhi East,Delhi,12350,Prince Associates
